Player,Team,position,GP,G,A1,A2,OPS,DPS,PS
Alexa Gruschow,MET,F,15,9,9,3,2.6147796570606303,0.3993610223642173,3.0141406794248478
Alyssa Gagliardi,BOS,D,15,2,4,1,0.6250918019575412,0.8408757338551864,1.4659675358127275
Amanda Boulier,CTW,F,10,3,4,1,0.7554236676535001,0.09460399279986917,0.8500276604533693
Anya Battaglino,CTW,F,7,0,0,0,-0.41131971171231746,0.06622279495990842,-0.34509691675240906
Ashley Johnston,MET,D,13,1,0,1,-0.014609319034100364,1.3844515441959537,1.3698422251618534
Bray Ketchum,MET,F,15,5,2,3,0.8666901374099749,0.3993610223642173,1.2660511597741921
Cheeky Herr,MET,F,1,0,0,0,-0.05875995881604534,0.02662406815761449,-0.03213589065843085
Colleen  Murphy,BUF,D,12,0,0,2,-0.09464532709676099,0.9139009139009144,0.8192555868041534
Corey  Stearns,BOS,F,13,0,1,3,-0.29927769469708504,0.18218974233529037,-0.11708795236179467
Corinne Buie,BUF,F,14,4,1,5,0.868311496820764,0.2665544332211,1.134865930041864
Courtney Burke,MET,D,15,2,8,9,2.0270631471675733,1.597444089456869,3.624507236624442
Cydney Roesler,CTW,D,13,1,1,0,0.0020518468032104734,0.49194076255931973,0.4939926093625302
Dana Trivigno,BOS,F,12,3,4,0,0.45638491898621697,0.1681751467710373,0.6245600657572543
Elena Orlando,CTW,D,13,0,0,1,-0.24213419970841743,0.49194076255931973,0.2498065628509023
Elizabeth  Parker,BOS,D,2,0,0,0,-0.056034957379112516,0.11211676451402484,0.05608180713491233
Emily Field,BOS,F,15,3,3,4,0.6285563699717094,0.2102189334637966,0.838775303435506
Emily Fluke,CTW,F,15,4,2,5,0.9499959665965293,0.14190598919980374,1.091901955796333
Emma Greco,CTW,D,4,0,2,0,0.1321161317534029,0.15136638847979067,0.28348252023319354
Erika  Lawler,MET,F,13,1,2,4,0.16843494587175992,0.34611288604898843,0.5145478319207484
Grace Klienbach,CTW,F,10,1,0,1,-0.22132051839301167,0.09460399279986917,-0.1267165255931425
