Season,game_id,game_date,home_team,away_team,Team,GF,GA,SF,SA,SF.,SF_5v5,SA_5v5,SF_5v5.,BlkF,BlkA,GF_5v5,GA_5v5,GF_pp,GA_pp,GF_sh,GA_sh,FOW,FOL,periods,Sh.,Sv.,PDO
2015,14665102,2016-08-18,CTW,MET,CTW,4,1,25,32,0.44,25,32,0.44,0,0,4,1,0,0,0,0,0,0,3,0.16,0.97,1.13
2015,14665102,2016-08-18,CTW,MET,MET,1,4,32,25,0.56,32,25,0.56,0,0,1,4,0,0,0,0,0,0,3,0.03,0.84,0.87
2015,14668259,2016-08-19,BUF,BOS,BUF,1,4,34,45,0.43,34,45,0.43,0,0,1,3,0,1,0,0,0,0,3,0.03,0.91,0.9400000000000001
2015,14668259,2016-08-19,BUF,BOS,BOS,4,1,45,34,0.57,45,34,0.57,0,0,3,1,1,0,0,0,0,0,3,0.09,0.97,1.06
2015,14689699,2016-08-22,BUF,CTW,BUF,2,5,30,41,0.42,30,41,0.42,0,0,1,2,0,0,1,3,0,0,3,0.07,0.88,0.95
2015,14689699,2016-08-22,BUF,CTW,CTW,5,2,41,30,0.58,41,30,0.58,0,0,2,1,0,0,3,1,0,0,3,0.12,0.93,1.05
2015,14690190,2016-08-22,MET,BOS,MET,1,7,24,42,0.36,11,26,0.3,0,0,0,5,1,1,0,1,0,0,3,0.04,0.83,0.87
2015,14690190,2016-08-22,MET,BOS,BOS,7,1,42,24,0.64,26,11,0.7,0,0,5,0,1,1,1,0,0,0,3,0.17,0.96,1.13
2015,14690359,2016-08-22,BUF,BOS,BUF,3,5,31,42,0.42,31,42,0.42,0,0,1,3,1,2,1,0,0,0,3,0.1,0.88,0.98
2015,14690359,2016-08-22,BUF,BOS,BOS,5,3,42,31,0.58,42,31,0.58,0,0,3,1,2,1,0,1,0,0,3,0.12,0.9,1.02
2015,14690511,2016-08-22,MET,CTW,MET,1,3,20,23,0.47,20,23,0.47,0,0,0,1,1,1,0,1,0,0,3,0.05,0.87,0.92
2015,14690511,2016-08-22,MET,CTW,CTW,3,1,23,20,0.53,23,20,0.53,0,0,1,0,1,1,1,0,0,0,3,0.13,0.95,1.08
2015,14694271,2016-08-23,BUF,CTW,BUF,2,3,35,23,0.6,27,11,0.71,0,0,2,2,0,1,0,0,0,0,3,0.06,0.87,0.9299999999999999
2015,14694271,2016-08-23,BUF,CTW,CTW,3,2,23,35,0.4,11,27,0.29,0,0,2,2,1,0,0,0,0,0,3,0.13,0.94,1.0699999999999998
2015,14694328,2016-08-23,MET,BOS,MET,3,2,32,61,0.34,32,61,0.34,0,0,2,0,0,1,1,0,0,0,3,0.09,0.97,1.06
2015,14694328,2016-08-23,MET,BOS,BOS,2,3,61,32,0.66,61,32,0.66,0,0,0,2,1,0,0,1,0,0,3,0.03,0.91,0.9400000000000001
2015,14694401,2016-08-23,BOS,MET,BOS,2,3,43,17,0.72,43,17,0.72,0,0,0,3,2,0,0,0,0,0,3,0.05,0.82,0.87
2015,14694401,2016-08-23,BOS,MET,MET,3,2,17,43,0.28,17,43,0.28,0,0,3,0,0,2,0,0,0,0,3,0.18,0.95,1.13
2015,14694525,2016-08-23,BUF,CTW,BUF,6,6,31,21,0.6,22,16,0.58,0,0,3,3,3,0,0,3,0,0,4,0.19,0.71,0.8999999999999999
2015,14694525,2016-08-23,BUF,CTW,CTW,6,6,21,31,0.4,16,22,0.42,0,0,3,3,0,3,3,0,0,0,4,0.29,0.81,1.1
2015,14695854,2016-08-23,BOS,CTW,BOS,3,4,48,22,0.69,48,22,0.69,0,0,1,2,2,1,0,1,0,0,3,0.06,0.82,0.8799999999999999
2015,14695854,2016-08-23,BOS,CTW,CTW,4,3,22,48,0.31,22,48,0.31,0,0,2,1,1,2,1,0,0,0,3,0.18,0.94,1.1199999999999999
2015,14696016,2016-08-23,MET,BUF,MET,1,3,33,36,0.48,19,20,0.49,0,0,1,2,0,1,0,0,0,0,3,0.03,0.92,0.9500000000000001
2015,14696016,2016-08-23,MET,BUF,BUF,3,1,36,33,0.52,20,19,0.51,0,0,2,1,1,0,0,0,0,0,3,0.08,0.97,1.05
2015,14752032,2016-08-30,BOS,BUF,BOS,7,6,38,19,0.67,38,19,0.67,0,0,6,3,1,0,0,3,0,0,3,0.18,0.68,0.8600000000000001
2015,14752032,2016-08-30,BOS,BUF,BUF,6,7,19,38,0.33,19,38,0.33,0,0,3,6,0,1,3,0,0,0,3,0.32,0.82,1.14
2015,14752514,2016-09-02,BOS,MET,BOS,4,1,32,24,0.57,32,24,0.57,0,0,2,1,0,0,2,0,0,0,3,0.12,0.96,1.08
