Player,Team,position,GP,G,A1,A2,OPS,DPS,PS,Season
Alyssa Gagliardi,BOS,D,7,0,4,2,0.18,1.3,1.48,2015
Alyssa Wohlfeiler,CTW,F,11,3,2,2,-0.02,0.38,0.36,2015
Amanda Pelkey,BOS,F,12,7,3,0,0.6,0.56,1.15,2015
Amber Moore,MET,D,5,0,1,1,-0.09,0.32,0.23,2015
Annmarie Cellino,BUF,F,1,0,0,1,0.01,0.03,0.03,2015
Anya Battaglino,CTW,F,2,0,0,0,-0.18,0.07,-0.11,2015
Ashley Johnston,MET,D,9,1,3,4,0.36,0.58,0.95,2015
Beth Hanrahan,MET,F,4,2,1,0,0.14,0.06,0.2,2015
Blake Bolden,BOS,D,7,1,4,4,0.57,1.3,1.87,2015
Bray Ketchum,MET,F,12,9,2,1,1.01,0.19,1.2,2015
Brianna Decker,BOS,F,15,14,12,4,2.97,0.7,3.67,2015
Brittany Dougherty,CTW,F,7,1,2,2,-0.05,0.24,0.19,2015
Brooke Ammerman,MET,F,10,4,10,1,0.99,0.16,1.15,2015
Casey Pickett,BOS,F,1,0,0,0,-0.09,0.05,-0.04,2015
Celeste Brown,MET,F,11,0,2,2,-0.58,0.18,-0.41,2015
Corinne Buie,BOS,F,10,3,3,1,0.09,0.46,0.55,2015
Danielle Ward,CTW,F,13,5,3,2,0.29,0.45,0.73,2015
Devon Skeats,BUF,F,14,9,3,2,0.93,0.36,1.29,2015
Elena Orlando,MET,D,6,0,1,0,-0.25,0.39,0.14,2015
Emily Field,BOS,F,9,4,2,1,0.28,0.42,0.69,2015
Emily Pfalzer,BUF,D,10,2,2,8,0.74,1.02,1.76,2015
Erin Zach,BUF,F,5,1,3,1,0.12,0.13,0.25,2015
Gabie Figueroa,MET,D,5,1,0,0,-0.09,0.32,0.23,2015
Gigi Marvin,BOS,D,11,5,1,8,1.22,2.04,3.26,2015
Hailey Browne,BUF,F,14,5,6,1,0.37,0.36,0.72,2015
Hannah McGowan,BUF,F,5,1,2,0,-0.07,0.13,0.06,2015
Hayley Williams,BUF,F,8,1,3,1,-0.14,0.2,0.06,2015
Hilary Knight,BOS,F,16,15,14,4,3.28,0.74,4.02,2015
Janine Weber,MET,F,7,3,2,4,0.56,0.11,0.68,2015
Jessica Fickel,BUF,F,4,0,0,2,-0.17,0.1,-0.06,2015
Jessica Koizumi,CTW,F,9,2,3,2,0.06,0.31,0.37,2015
Jillian Dempsey,BOS,F,13,7,5,2,0.9,0.6,1.5,2015
Jordan Brickner,CTW,D,10,0,7,5,0.57,1.38,1.95,2015
Jordan Smelker,BOS,F,12,9,6,4,1.67,0.56,2.23,2015
Kacey Bellamy,BOS,D,10,2,6,6,0.98,1.86,2.84,2015
Kaleigh Fratkin,CTW,D,17,5,6,6,1.12,2.34,3.46,2015
Kate Buesser,CTW,F,5,3,1,1,0.32,0.17,0.5,2015
Kelley Steadman,BUF,F,9,13,5,2,2.33,0.23,2.56,2015
Kelli Stack,CTW,F,16,8,9,5,1.46,0.55,2.01,2015
Kelly Babstock,CTW,F,15,9,8,5,1.65,0.52,2.16,2015
Kelly Cooke,BOS,F,4,2,1,1,0.23,0.19,0.42,2015
Kelly McDonald,BUF,D,9,0,5,4,0.33,0.92,1.25,2015
Kiira Dosdall,MET,D,11,1,0,5,0.05,0.71,0.76,2015
Kourtney Kunichika,BUF,F,10,9,4,3,1.48,0.25,1.74,2015
Lindsay Berman,CTW,D,1,0,1,0,0.04,0.14,0.18,2015
Lindsay Grigg,BUF,D,4,0,0,2,-0.04,0.41,0.36,2015
Ludmila Belyakova,MET,F,12,5,4,1,0.41,0.19,0.61,2015
Madison Packer,MET,F,12,3,1,3,-0.08,0.19,0.11,2015
Maggie Giamo,BUF,F,1,0,0,0,-0.09,0.03,-0.06,2015
Marissa Gedman,BOS,D,9,0,2,4,0.06,1.67,1.73,2015
Meagan Mangene,BOS,F,1,0,0,1,0.01,0.05,0.06,2015
Megan Bozek,BUF,D,10,3,6,4,0.93,1.02,1.95,2015
Meghan Duggan,BUF,F,12,6,8,2,1.02,0.31,1.32,2015
Meghan Fardelmann,MET,F,8,6,1,0,0.57,0.13,0.7,2015
Micaela Long,CTW,F,10,3,3,4,0.36,0.34,0.7,2015
Molly Engstrom,CTW,D,9,3,0,2,0.24,1.24,1.48,2015
Moran Fritz-Ward,MET,F,8,4,2,0,0.28,0.13,0.41,2015
Paige Harrington,BUF,D,8,0,0,3,-0.18,0.82,0.63,2015
Rachel Llanes,BOS,F,9,3,3,1,0.18,0.42,0.6,2015
Sam Faber,CTW,F,9,3,0,3,0.06,0.31,0.37,2015
Shannon Doyle,CTW,D,6,2,1,2,0.32,0.83,1.15,2015
Shelby Bram,BUF,F,9,4,4,2,0.53,0.23,0.76,2015
Shiann Darkangelo,CTW,F,9,10,2,1,1.41,0.31,1.72,2015
Sydney Kidd,MET,D,4,0,1,3,0.16,0.26,0.42,2015
Tara Tomimoto,CTW,D,4,1,0,0,-0.04,0.55,0.51,2015
Tatiana Rafter,BUF,F,7,2,1,0,-0.15,0.18,0.03,2015
Taylor Holze,MET,F,2,0,1,0,-0.08,0.03,-0.05,2015
Yekaterina Smolentseva,CTW,F,5,3,3,2,0.61,0.17,0.78,2015
Zoe Hickel,BOS,F,7,3,1,2,0.26,0.33,0.58,2015
Alex Carpenter,BOS,F,17,9,13,8,2.7,0.53,3.23,2016
Alexa Gruschow,MET,F,18,2,4,4,-0.01,0.27,0.26,2016
Alexandra Bender,BOS,D,17,2,3,1,0.34,2.12,2.46,2016
Alyssa Gagliardi,BOS,D,16,0,4,1,0.08,2,2.08,2016
Amanda Kessel,MET,F,8,4,10,4,1.47,0.12,1.59,2016
Amanda Pelkey,BOS,F,16,2,3,2,-0.1,0.5,0.4,2016
Anne Schleper,BUF,D,6,0,1,0,-0.05,0.3,0.25,2016
Anya Battaglino,CTW,F,4,0,0,0,-0.24,0.03,-0.21,2016
Ashley Johnston,MET,D,16,2,0,1,0.04,0.97,1.01,2016
Ashley Vesci,BUF,F,9,0,1,0,-0.44,0.11,-0.32,2016
Blake Bolden,BOS,D,17,1,3,2,0.24,2.12,2.37,2016
Bray Ketchum,MET,F,16,2,2,3,-0.16,0.24,0.08,2016
Brianna Decker,BOS,F,17,14,10,7,3.27,0.53,3.8,2016
Celeste Brown,CTW,F,3,0,0,0,-0.18,0.02,-0.16,2016
Corinne Buie,BUF,F,16,8,1,2,0.94,0.2,1.14,2016
Courtney Burke,MET,D,12,3,4,4,0.94,0.72,1.66,2016
Cydney Roesler,CTW,D,15,1,2,4,0.37,0.46,0.83,2016
Dana Trivigno,CTW,F,15,3,3,3,0.23,0.11,0.34,2016
Devon Skeats,BUF,F,15,4,2,0,0.1,0.19,0.29,2016
Elena Orlando,CTW,D,10,0,0,0,-0.25,0.3,0.05,2016
Emily Field,BOS,F,15,3,2,1,-0.04,0.47,0.43,2016
Emily Janiga,BUF,F,16,6,4,1,0.74,0.2,0.94,2016
Emily Pfalzer,BUF,D,14,1,3,2,0.35,0.7,1.05,2016
Gabie Figueroa,MET,D,3,0,0,0,-0.07,0.18,0.11,2016
Gigi Marvin,BOS,D,16,4,3,8,1.41,2,3.41,2016
Haley Skarupa,CTW,F,15,11,6,4,2.1,0.11,2.21,2016
Harrison Browne,BUF,F,16,2,1,2,-0.26,0.2,-0.06,2016
Hilary Knight,BOS,F,10,8,3,4,1.59,0.31,1.9,2016
Ivana Bilic,CTW,D,7,0,2,2,0.2,0.21,0.41,2016
Jacquie Greco,BUF,D,13,1,0,0,-0.12,0.65,0.53,2016
Janine Weber,MET,F,17,10,6,6,1.82,0.26,2.07,2016
Jillian Dempsey,BOS,F,17,6,5,3,0.89,0.53,1.42,2016
Jordan Brickner,CTW,D,12,1,0,3,0.17,0.36,0.53,2016
Jordan Smelker,BOS,F,14,3,4,1,0.21,0.44,0.65,2016
Jordyn Burns,BUF,D,10,0,0,1,-0.15,0.5,0.35,2016
Juana Baribeau,CTW,F,6,0,0,0,-0.36,0.05,-0.31,2016
Kacey Bellamy,BOS,D,17,3,3,4,0.81,2.12,2.94,2016
Kaleigh Fratkin,MET,D,18,1,3,2,0.17,1.09,1.26,2016
Kaliya Johnson,CTW,D,13,0,2,1,-0.04,0.39,0.35,2016
Kathryn Tomaselli,BOS,F,2,0,0,0,-0.12,0.06,-0.06,2016
Kayla Parsons,BUF,D,6,0,0,0,-0.15,0.3,0.15,2016
Kelley Steadman,BUF,F,8,5,3,2,1.02,0.1,1.12,2016
Kelli Stack,CTW,F,15,10,5,2,1.63,0.11,1.74,2016
Kelly Babstock,CTW,F,16,9,5,4,1.57,0.12,1.69,2016
Kiira Dosdall,MET,D,16,2,3,0,0.22,0.97,1.19,2016
Kourtney Kunichika,BUF,F,16,2,8,1,0.34,0.2,0.54,2016
Kristina Lavoie,BUF,D,9,0,0,0,-0.22,0.45,0.23,2016
Lauren Wash,MET,F,5,1,2,0,0.06,0.08,0.13,2016
Lisa Chesson,BUF,D,6,0,1,2,0.15,0.3,0.45,2016
Madison Packer,MET,F,17,8,3,2,0.84,0.26,1.1,2016
Marissa Gedman,BOS,D,2,0,0,0,-0.05,0.25,0.2,2016
Mary Parker,BOS,F,1,0,0,0,-0.06,0.03,-0.03,2016
Meagan Mangene,CTW,D,15,1,1,1,0,0.46,0.46,2016
Megan Bozek,BUF,D,15,5,3,2,1.12,0.75,1.88,2016
Meghan   Huertas,CTW,F,7,1,1,2,0.05,0.05,0.1,2016
Meghan Duggan,BOS,F,17,12,5,1,1.84,0.53,2.37,2016
Micaela Long,CTW,F,16,3,3,4,0.26,0.12,0.38,2016
Michaela Levine,BOS,F,1,0,0,0,-0.06,0.03,-0.03,2016
Michelle Picard,MET,D,18,2,1,6,0.53,1.09,1.61,2016
Milica McMillen,MET,D,18,3,1,5,0.61,1.09,1.7,2016
Miye D'Oench,MET,F,18,5,6,3,0.61,0.27,0.88,2016
Molly Engstrom,CTW,D,8,1,1,1,0.17,0.24,0.42,2016
Morgan Beikirich,BUF,F,3,0,0,0,-0.18,0.04,-0.14,2016
Morgan Fritz-Ward,MET,F,8,0,0,0,-0.48,0.12,-0.36,2016
Nicole Connery,CTW,F,17,4,6,3,0.57,0.13,0.7,2016
Nicole Kosta,CTW,F,17,6,7,3,1.04,0.13,1.17,2016
Paige Harrington,BUF,D,14,0,0,0,-0.35,0.7,0.35,2016
Rachel Llanes,BOS,F,16,3,1,0,-0.29,0.5,0.21,2016
Rebecca Morse,MET,D,6,0,0,1,-0.06,0.36,0.3,2016
Rebecca Russo,MET,F,18,3,8,5,0.61,0.27,0.88,2016
Sam Faber,CTW,F,16,3,4,0,-0.02,0.12,0.1,2016
Sarah Casorso,BUF,D,14,0,1,5,0.25,0.7,0.95,2016
Shannon Doyle,CTW,D,14,0,4,3,0.31,0.42,0.73,2016
Shiann Darkangelo,BUF,F,15,5,4,1,0.6,0.19,0.79,2016
Tatiana Rafter,MET,F,18,6,1,0,0.08,0.27,0.35,2016
Taylor Holze,MET,F,7,1,0,0,-0.24,0.11,-0.14,2016
Zoe Hickel,BOS,F,12,1,3,2,-0.05,0.37,0.32,2016
Zoe Hickel,CTW,F,3,3,0,0,0.38,0.02,0.4,2016
Alexa Gruschow,MET,F,15,9,9,3,2.62,0.43,3.05,2017
Alyssa Gagliardi,BOS,D,15,2,4,1,0.66,0.84,1.5,2017
Amanda Boulier,CTW,F,10,3,4,1,0.78,0.1,0.88,2017
Ashley Johnston,MET,D,13,1,0,1,0.02,1.49,1.51,2017
Bray Ketchum,MET,F,15,5,2,3,0.86,0.43,1.29,2017
Cheeky Herr,MET,F,1,0,0,0,-0.06,0.03,-0.03,2017
Colleen  Murphy,BUF,D,12,0,0,2,-0.07,0.92,0.85,2017
Corey  Stearns,BOS,F,13,0,1,3,-0.31,0.18,-0.13,2017
Corinne Buie,BUF,F,14,4,1,5,0.85,0.27,1.12,2017
Courtney Burke,MET,D,15,2,8,9,2.08,1.72,3.79,2017
Cydney Roesler,CTW,D,13,1,1,0,0.04,0.52,0.56,2017
Dana Trivigno,BOS,F,12,3,4,0,0.45,0.17,0.61,2017
Elena Orlando,CTW,D,13,0,0,1,-0.21,0.52,0.31,2017
Elizabeth  Parker,BOS,D,2,0,0,0,-0.05,0.11,0.06,2017
Emily Field,BOS,F,15,3,3,4,0.62,0.21,0.83,2017
Emily Fluke,CTW,F,15,4,2,5,0.98,0.15,1.13,2017
Erika  Lawler,MET,F,13,1,2,4,0.16,0.37,0.53,2017
Grace Klienbach,CTW,F,10,1,0,1,-0.22,0.1,-0.12,2017
Haley Skarupa,BOS,F,4,2,0,3,0.57,0.06,0.63,2017
Hanna  Beattie,CTW,D,11,0,0,0,-0.28,0.44,0.16,2017
